IDnumber,name,age,sex,eduction,incomes1,household income,Employ,foodsecurity,consmeat,eat bread,eat checkin
183.0,Person_183,90,Unknown,College,279,3637,No,???,Daily,,Yes
184.0,Person_184,7,Female,Secondary,279,20000,Unknown,Insecure,Yes,,Always
185.0,Person_185,15,Female,University,-30,20000,Unknown,Secure,Yes,No,Yes
186.0,Person_186,60,Unknown,Secondary,279,20000,Yes,Insecure,Daily,Yes,No
187.0,Person_187,60,Unknown,University,,20000,Yes,Insecure,Yes,Yes,Always
188.0,Person_188,7,Unknown,Secondary,-30,20000,No,Insecure,Yes,No,Yes
189.0,Person_189,90,Male,University,,20000,No,Secure,Daily,,???
190.0,Person_190,15,Female,Secondary,279,,Unknown,Insecure,Yes,,No
191.0,Person_191,7,Unknown,Secondary,,,No,Secure,Yes,,No
192.0,Person_192,90,Female,Primary,,,Yes,Insecure,Daily,No,Always
193.0,Person_193,15,Male,University,279,,Yes,Insecure,Daily,,Always
194.0,Person_194,60,Male,University,-30,3637,Yes,Insecure,No,,No
195.0,Person_195,15,Male,University,,,Yes,Insecure,Yes,No,Always
196.0,Person_196,,Male,None,279,20000,Yes,Insecure,No,Yes,Yes
197.0,Person_197,22,Female,Secondary,-30,,Unknown,Insecure,No,No,No
198.0,Person_198,15,Male,University,-30,,Unknown,Secure,Daily,No,No
199.0,Person_199,22,Male,,-30,20000,Yes,Secure,Yes,No,Always
200.0,Person_200,15,Unknown,None,,,No,Secure,Yes,No,No
201.0,Person_201,22,Male,Primary,,,Yes,Insecure,Daily,Yes,Yes
202.0,Person_202,,Unknown,University,,,Unknown,Secure,No,,Always
203.0,Person_203,60,Male,University,-30,3637,Yes,Insecure,Daily,No,Always
204.0,Person_204,90,Male,None,,,Unknown,Secure,Yes,Yes,No
205.0,Person_205,22,Unknown,Secondary,279,20000,Unknown,Secure,Daily,,No
206.0,Person_206,,Male,,,20000,Yes,Insecure,Yes,,No
207.0,Person_207,22,Female,Primary,,,Yes,Insecure,No,,Always
208.0,Person_208,60,Female,University,-30,,No,Secure,Yes,No,No
209.0,Person_209,22,Male,Secondary,,,Unknown,Secure,No,,Yes
210.0,Person_210,,Female,,279,20000,No,Secure,No,,No
211.0,Person_211,,Unknown,,-30,20000,Yes,Secure,Yes,,No
212.0,Person_212,7,Male,Primary,279,3637,Unknown,Insecure,Yes,,Always
213.0,Person_213,60,Male,???,-30,3637,No,Secure,No,,No
214.0,Person_214,7,Unknown,,-30,3637,Unknown,Insecure,Daily,,Always
9999.0,Person_215,60,Unknown,College,,20000,No,Insecure,Yes,,No
216.0,Person_216,,Unknown,,279,3637,Yes,Secure,No,Yes,Yes
217.0,Person_217,,Male,Primary,-30,,Yes,Insecure,No,,Yes
218.0,Person_218,7,Unknown,None,,,Yes,Secure,Daily,No,Always
219.0,Person_219,22,Unknown,Primary,-30,20000,Unknown,Insecure,Yes,No,Always
220.0,Person_220,,Female,Primary,-30,3637,Yes,Insecure,No,No,No
221.0,Person_221,60,Female,None,-30,,Unknown,Secure,Daily,,No
222.0,Person_222,,Male,None,-30,20000,No,Unknown,No,No,Yes
223.0,Person_223,22,Female,Secondary,-30,3637,No,Insecure,Yes,Yes,No
224.0,Person_224,7,Female,,-30,,Yes,Secure,Daily,,Yes
225.0,Person_225,7,Unknown,Secondary,,3637,No,Insecure,No,No,Always
226.0,Person_226,,Unknown,None,-30,20000,Yes,Insecure,Daily,Yes,No
227.0,Person_227,22,Female,College,279,3637,Unknown,Secure,Yes,Yes,Always
228.0,Person_228,15,Female,College,,20000,No,Secure,Daily,No,No
229.0,Person_229,60,Female,Primary,279,3637,Yes,Insecure,Yes,Yes,Yes
230.0,Person_230,60,Male,University,-30,,No,Insecure,No,No,Always
231.0,Person_231,22,Male,Primary,279,20000,No,Insecure,Yes,Yes,Always
232.0,Person_232,15,Male,Primary,-30,20000,???,Secure,No,,No
233.0,Person_233,7,Female,University,-30,20000,No,Unknown,No,,Always
234.0,Person_234,90,Female,,,3637,No,Insecure,Yes,,Yes
235.0,Person_235,90,Male,None,,3637,No,Insecure,No,,Always
236.0,Person_236,22,Male,College,-30,,No,Insecure,Daily,,Always
237.0,Person_237,???,Female,Primary,,20000,Unknown,Insecure,No,No,No
238.0,Person_238,15,Unknown,University,279,20000,No,Insecure,Yes,,Always
239.0,Person_239,60,Male,Secondary,,3637,No,Secure,Daily,,No
240.0,Person_240,7,,Primary,,3637,Yes,Secure,Daily,,No
241.0,Person_241,,Female,College,279,,Unknown,Insecure,No,,Always
242.0,Person_242,15,Unknown,None,,,Yes,Insecure,No,Yes,Yes
243.0,Person_243,,Female,Primary,-30,3637,Yes,Secure,Yes,,No
244.0,Person_244,90,Female,Primary,279,20000,Yes,Secure,Daily,,Always
245.0,Person_245,,Male,,-30,,Unknown,Secure,Yes,No,No
246.0,Person_246,7,Male,University,279,3637,Yes,Insecure,No,Yes,Yes
247.0,Person_247,7,Unknown,Secondary,-30,3637,Yes,Insecure,Daily,No,Yes
248.0,Person_248,,Unknown,Secondary,-30,20000,Yes,Insecure,Yes,,No
249.0,Person_249,22,Female,None,,3637,No,Insecure,Yes,No,Yes
250.0,Person_250,15,Male,College,-30,3637,Yes,Secure,Yes,No,Always
251.0,Person_251,22,Unknown,None,,,Unknown,Secure,Yes,,Always
252.0,Person_252,,Unknown,Primary,279,3637,Unknown,Secure,Yes,Yes,No
253.0,Person_253,15,Unknown,Primary,-30,3637,No,Secure,Daily,Yes,Yes
254.0,Person_254,60,Female,Secondary,-30,,Unknown,Insecure,Yes,No,Always
255.0,Person_255,22,Male,College,279,20000,Unknown,Insecure,Daily,,Always
256.0,Person_256,22,Unknown,University,279,20000,No,Secure,Yes,No,Always
257.0,Person_257,,Male,College,-30,,Yes,Secure,No,No,No
258.0,Person_258,90,Unknown,Primary,279,,No,Secure,,No,No
259.0,Person_259,,Unknown,University,,20000,Yes,Secure,Yes,,Always
260.0,Person_260,22,Male,College,279,20000,Yes,Secure,No,,Always
261.0,Person_261,15,Male,College,279,20000,???,Insecure,Daily,Yes,Yes
262.0,Person_262,90,Male,University,-30,20000,No,Insecure,Yes,,Yes
263.0,Person_263,,Female,Primary,,20000,Unknown,Secure,Daily,No,Yes
264.0,Person_264,,Unknown,College,Unknown,,Unknown,Secure,Yes,No,No
265.0,,22,Female,University,,3637,Yes,Secure,No,Yes,Always
266.0,Person_266,22,Male,,,20000,Unknown,Insecure,Daily,,No
267.0,Person_267,60,Unknown,,,20000,No,Unknown,No,No,Always
268.0,Person_268,,Female,Primary,-30,3637,Unknown,Insecure,No,Yes,Yes
269.0,Person_269,22,Unknown,University,279,3637,Unknown,Secure,Yes,Yes,Yes
270.0,Person_270,7,Female,,-30,3637,Yes,Insecure,Daily,No,Yes
271.0,Person_271,90,Male,University,279,3637,No,Secure,No,No,Yes
272.0,Person_272,7,Female,College,279,3637,Unknown,Insecure,Yes,,Always
273.0,Person_273,90,Unknown,Primary,-30,3637,Yes,Insecure,Yes,Yes,Yes
274.0,Person_274,,Unknown,,,,Unknown,Insecure,Yes,No,Always
275.0,Person_275,60,Unknown,College,,3637,No,Secure,No,Yes,Always
276.0,Person_276,22,Unknown,None,279,3637,Unknown,Secure,Yes,,No
277.0,Person_277,22,Male,Unknown,-30,,Unknown,Insecure,Daily,No,Yes
278.0,Person_278,22,Female,Primary,,3637,Yes,Secure,Daily,,Yes
279.0,Person_279,,Male,,,20000,Unknown,Secure,No,Yes,No
280.0,Person_280,90,Male,,279,20000,Yes,Secure,Daily,,Always
281.0,Person_281,22,Male,,279,3637,No,Secure,Yes,???,Yes
282.0,Person_282,7,Unknown,University,-30,,Unknown,Secure,No,Yes,Always
283.0,Person_283,22,Unknown,College,279,20000,No,Secure,Yes,,No
284.0,Person_284,,Unknown,,,,No,Secure,No,Yes,Always
285.0,Person_285,60,Female,College,,20000,Unknown,Insecure,No,No,Yes
286.0,Person_286,7,Unknown,Primary,,3637,Yes,Secure,Yes,Yes,Always
287.0,Person_287,22,Female,,,,No,Secure,Daily,Yes,Always
288.0,???,22,Unknown,Primary,-30,,No,Insecure,Daily,No,Yes
289.0,Person_289,15,Unknown,,-30,,Unknown,Insecure,No,Yes,Yes
290.0,Person_290,90,Male,None,279,20000,Unknown,Insecure,Yes,No,Always
291.0,Person_291,7,Male,Secondary,279,20000,Unknown,Insecure,Yes,No,Always
292.0,Person_292,15,Male,Primary,279,20000,Unknown,Secure,No,Yes,No
293.0,Person_293,60,Female,,-30,3637,Unknown,Insecure,Daily,,Yes
294.0,Person_294,90,Female,Secondary,,20000,Unknown,Insecure,Yes,,Always
295.0,Person_295,7,Unknown,Primary,279,3637,Yes,Secure,Daily,No,Yes
296.0,Person_296,22,Female,University,,,No,Secure,Daily,,No
297.0,Person_297,7,Unknown,,279,,Yes,Secure,No,,Always
298.0,Person_298,22,Female,University,279,3637,Yes,Insecure,No,Yes,Always
299.0,Person_299,90,Female,None,279,20000,Unknown,Secure,Daily,No,Always
300.0,Person_300,22,Female,,279,3637,No,Insecure,Yes,No,Yes
301.0,Person_301,60,Male,None,279,,Yes,Secure,Yes,Yes,No
302.0,Person_302,,Female,Secondary,,,Unknown,Secure,No,,Yes
303.0,Person_303,22,Male,Primary,279,3637,Unknown,Insecure,Daily,No,Always
304.0,Person_304,60,Male,College,,20000,No,Secure,Yes,,No
305.0,Person_305,,Female,None,-30,20000,Yes,Secure,Yes,No,Always
306.0,Person_306,90,Unknown,College,279,3637,Yes,Secure,No,No,Always
307.0,Person_307,90,Unknown,College,,3637,Yes,Secure,Daily,No,Yes
308.0,Person_308,7,Unknown,Primary,-30,20000,Unknown,Secure,Yes,No,Always
309.0,Person_309,60,Female,Secondary,-30,,No,Insecure,No,,No
310.0,Person_310,60,Unknown,Primary,-30,3637,No,Insecure,Yes,,Always
311.0,Person_311,15,Male,,,20000,Yes,Secure,Yes,,Always
312.0,Person_312,15,Unknown,None,279,20000,Unknown,Insecure,Yes,,Yes
313.0,Person_313,,Female,College,279,,Yes,Insecure,No,Yes,No
314.0,Person_314,,Unknown,Primary,,,No,Insecure,Daily,No,Yes
315.0,Person_315,15,Male,Primary,279,,Unknown,Secure,No,No,Always
316.0,Person_316,,Female,Primary,,,Yes,Secure,Daily,No,Yes
317.0,Person_317,22,Unknown,None,279,,Yes,Secure,Yes,Yes,Yes
318.0,Person_318,15,Female,Secondary,-30,3637,Unknown,Insecure,Daily,,Yes
319.0,Person_319,60,Female,Primary,279,20000,No,Insecure,Yes,No,Yes
320.0,Person_320,22,Female,None,,3637,Unknown,Secure,Yes,,Always
