ID,namesss,agesss,sexey,eductionall,inc1,inc2,employed,food security,consume meat
52.0,Unknown,70,,,1749,,Unknown,Secure,
53.0,Person_53,18,Female,Secondary,1749,,Unknown,Secure,Yes
54.0,Person_54,25,Male,None,-20,,Unknown,Insecure,No
55.0,Person_55,,Male,Primary,1749,,Unknown,Insecure,Yes
56.0,Person_56,25,Female,,-20,,Yes,Secure,No
57.0,Person_57,999,Male,University,1749,5000,Unknown,Insecure,Always
58.0,Person_58,8,Female,,1749,5000,No,Insecure,Always
59.0,Person_59,18,Female,Primary,,,No,Insecure,
60.0,Person_60,40,,Primary,,1138,Unknown,Insecure,No
61.0,Person_61,18,Female,,-20,,Unknown,Insecure,Always
62.0,Person_62,,,None,,1138,No,Secure,No
63.0,Person_63,40,Male,College,-20,,No,Insecure,Always
64.0,Unknown,8,Male,Primary,,,Yes,Secure,Yes
65.0,Person_65,,Male,,1749,5000,No,Insecure,Always
66.0,Person_66,15,Male,,-20,1138,No,Secure,Yes
67.0,Person_67,25,,Secondary,-20,1138,Unknown,Insecure,Always
68.0,Person_68,8,Male,College,1749,5000,No,Secure,
69.0,Person_69,25,Female,University,-20,5000,Yes,Insecure,Yes
70.0,Person_70,70,Female,None,-20,5000,No,Secure,Always
71.0,Person_71,15,Female,University,,5000,Unknown,Insecure,
72.0,Person_72,15,,College,-20,1138,Unknown,Secure,Yes
73.0,Person_73,8,Male,College,1749,1138,No,Insecure,
74.0,Person_74,15,Male,College,,,Unknown,Secure,No
9999.0,Person_75,40,Male,University,,,Yes,Secure,No
76.0,Person_76,15,,College,1749,,Yes,Insecure,Yes
77.0,Person_77,25,Female,,1749,5000,No,Insecure,Always
78.0,Person_78,25,Female,University,,5000,No,Secure,Yes
79.0,Person_79,,Male,College,-20,,No,Insecure,
80.0,Person_80,25,Female,,,,Unknown,Secure,Always
81.0,Person_81,,Female,Secondary,1749,,Yes,Secure,No
82.0,Person_82,25,,College,,,Yes,Secure,Always
83.0,Person_83,40,,University,1749,,Unknown,Insecure,No
84.0,Person_84,999,,Primary,,Unknown,Yes,Secure,Always
9999.0,Person_85,,,College,-20,,No,Secure,Always
86.0,Person_86,18,Male,Primary,,5000,No,Insecure,Always
87.0,Person_87,70,,,,5000,No,Insecure,
88.0,Person_88,8,Female,Secondary,1749,5000,Yes,Insecure,
89.0,Person_89,25,Male,None,1749,5000,No,Insecure,Yes
90.0,Person_90,15,Female,Secondary,1749,,Unknown,Secure,Yes
91.0,Person_91,999,Female,College,,1138,Unknown,Secure,No
92.0,???,25,Female,Primary,-20,,Yes,Secure,
93.0,Person_93,15,,Primary,1749,1138,Unknown,Secure,No
94.0,Person_94,70,,University,1749,5000,Unknown,Insecure,Yes
95.0,Person_95,70,Male,Primary,,,Yes,Secure,No
96.0,Person_96,70,Male,University,1749,5000,No,Secure,Yes
97.0,Person_97,15,,,-20,,No,Insecure,
98.0,Person_98,25,Female,None,-20,5000,No,Secure,Always
99.0,Person_99,70,Male,College,1749,1138,Yes,Secure,
100.0,Unknown,40,,University,1749,1138,Unknown,Secure,No
101.0,Person_101,,,None,,1138,No,Secure,No
102.0,Person_102,15,,Primary,-20,,No,Secure,
103.0,Person_103,15,Female,Primary,-20,1138,Yes,Secure,
104.0,Person_104,25,,None,1749,,No,Insecure,Yes
105.0,Person_105,15,,Primary,,1138,Yes,Insecure,No
106.0,Person_106,15,,,-20,1138,Unknown,Secure,No
107.0,Person_107,70,,,-20,,Yes,Secure,
108.0,Person_108,25,Male,None,,,Yes,Insecure,Always
109.0,Person_109,70,Male,University,,1138,Yes,Secure,No
110.0,Person_110,,,University,-20,,Yes,Secure,Always
111.0,Person_111,999,Female,None,-20,1138,Unknown,Secure,
112.0,Person_112,,Male,University,,,Unknown,Insecure,
113.0,Person_113,999,,University,-20,5000,No,Secure,Yes
114.0,Person_114,70,Male,,1749,5000,Unknown,Insecure,No
115.0,Person_115,,Male,University,1749,5000,Unknown,Secure,Always
116.0,Person_116,25,Female,Secondary,,5000,No,Insecure,Yes
117.0,Person_117,8,,College,,5000,Unknown,Insecure,No
118.0,Person_118,70,,Primary,,1138,Yes,Secure,Yes
119.0,Person_119,999,Female,Secondary,1749,5000,Yes,Insecure,
,Person_120,40,Female,University,-20,5000,No,Secure,No
121.0,Person_121,999,,,1749,5000,No,Insecure,Yes
122.0,Unknown,40,,None,-20,5000,No,Secure,Yes
123.0,Person_123,15,Female,University,1749,,Yes,Secure,Always
124.0,Person_124,,Male,,-20,1138,Unknown,Insecure,Yes
125.0,Person_125,40,Male,College,1749,5000,Yes,Secure,No
126.0,Person_126,999,Unknown,University,,5000,No,Secure,No
127.0,Person_127,15,Male,None,1749,5000,Unknown,Insecure,Always
128.0,Person_128,8,Female,,-20,1138,Unknown,Secure,Unknown
129.0,Person_129,25,Male,,1749,,Yes,Secure,
130.0,Person_130,25,Male,,1749,1138,No,Unknown,No
131.0,Person_131,25,,College,1749,,Yes,Insecure,No
132.0,Person_132,40,,University,,5000,Unknown,Secure,Yes
133.0,,8,Male,College,1749,5000,Yes,Secure,Yes
134.0,Person_134,40,Male,Primary,,1138,Yes,Insecure,No
135.0,Person_135,,,Primary,,1138,No,Insecure,Always
136.0,Person_136,40,,University,1749,,No,Secure,Yes
137.0,Person_137,8,,College,1749,,Unknown,Insecure,Always
138.0,Person_138,8,Female,None,1749,1138,Yes,Secure,No
139.0,Person_139,,Male,,-20,,Yes,Secure,No
140.0,Person_140,8,,,1749,1138,Yes,Secure,
141.0,Person_141,999,Male,University,,,Unknown,Secure,Yes
142.0,Person_142,8,Female,Primary,1749,1138,Unknown,Secure,No
143.0,Person_143,25,Female,Primary,-20,1138,No,Insecure,
144.0,Person_144,999,,,1749,1138,No,Insecure,Yes
145.0,Person_145,999,Female,University,-20,,???,Insecure,No
146.0,Person_146,,Male,College,-20,,Yes,Insecure,No
147.0,Person_147,18,,Primary,1749,,Yes,Secure,Yes
148.0,Person_148,18,Male,College,,1138,No,Secure,Yes
149.0,Person_149,8,Male,Primary,-20,,Yes,Secure,Yes
150.0,Person_150,999,Female,Primary,1749,,No,Secure,No
151.0,Person_151,18,Female,Secondary,1749,1138,Unknown,Insecure,No
152.0,Person_152,18,Female,Primary,,5000,No,Secure,
153.0,Person_153,8,Female,None,-20,1138,Unknown,Secure,Always
154.0,Person_154,18,Female,University,-20,,Yes,Insecure,Yes
155.0,Person_155,40,,University,1749,1138,No,Insecure,No
156.0,Person_156,15,Male,College,1749,5000,Yes,Insecure,No
157.0,Person_157,,Male,Primary,,1138,Unknown,Insecure,Yes
158.0,Person_158,15,Male,None,,,Unknown,Secure,Always
159.0,Person_159,8,Male,College,-20,5000,Unknown,Secure,Yes
160.0,Person_160,25,Female,Secondary,-20,,Yes,Insecure,Always
161.0,Person_161,,Male,College,1749,5000,Yes,Secure,No
162.0,Person_162,8,,College,-20,5000,Yes,Secure,Always
163.0,Person_163,999,,Primary,,1138,Yes,Secure,
164.0,Person_164,25,Male,Secondary,,1138,Unknown,Insecure,
165.0,Person_165,15,Male,College,1749,,Unknown,Secure,
166.0,Person_166,8,,None,,1138,No,Insecure,Yes
167.0,Person_167,999,,None,,1138,No,Secure,Unknown
168.0,Person_168,,Female,University,,5000,Yes,Secure,Yes
169.0,Person_169,,,Unknown,,1138,Unknown,Secure,Always
170.0,Person_170,70,Female,Secondary,1749,5000,Unknown,Insecure,No
171.0,Person_171,999,Female,University,1749,5000,Unknown,Secure,Yes
172.0,Person_172,40,Female,College,-20,5000,No,Insecure,Yes
173.0,Person_173,18,Female,Secondary,,,No,Insecure,No
174.0,Person_174,25,Female,None,-20,,Unknown,Insecure,Yes
175.0,Person_175,999,Male,None,1749,,Unknown,Secure,
176.0,Person_176,70,,Primary,1749,5000,Unknown,Secure,
177.0,Person_177,18,Female,Secondary,1749,,No,Secure,No
178.0,Person_178,18,,College,1749,,Unknown,Secure,No
179.0,Person_179,8,,University,1749,1138,Unknown,Insecure,
180.0,Person_180,18,Female,University,1749,,Yes,Insecure,No
181.0,Person_181,40,Male,College,1749,,Yes,Insecure,
182.0,Person_182,,Female,,,5000,No,Secure,No
183.0,Person_183,70,Male,Unknown,-20,5000,Unknown,Insecure,Always
184.0,Person_184,18,,University,1749,5000,Unknown,Secure,Yes
185.0,Person_185,8,Male,Secondary,,5000,Yes,Insecure,Always
186.0,Person_186,40,Male,Primary,,5000,No,Secure,Yes
187.0,Person_187,15,Male,Secondary,-20,5000,Yes,Secure,
188.0,Person_188,,,None,1749,,Yes,Insecure,Always
189.0,Person_189,,,Primary,-20,5000,Yes,Insecure,No
190.0,Person_190,70,Male,University,1749,5000,Yes,Insecure,Yes
191.0,Person_191,,Male,Primary,,1138,Unknown,Insecure,Yes
192.0,Person_192,18,Female,Primary,,,Unknown,Secure,Always
193.0,Person_193,8,Male,Primary,,,Yes,Insecure,
194.0,Person_194,,Female,,,,No,Insecure,Always
195.0,Person_195,,Male,Primary,-20,5000,No,Insecure,
196.0,Person_196,15,Female,Secondary,1749,5000,No,Secure,
197.0,Person_197,15,,None,1749,5000,No,Secure,Yes
198.0,Person_198,25,Male,College,-20,1138,Yes,Insecure,Always
199.0,Person_199,40,Male,Primary,1749,5000,Unknown,Secure,Always
200.0,Person_200,18,Male,University,,1138,No,Insecure,
